"barcode_rank"	"total_counts"	"fitted"	"is_empty"
1	7174	NA	FALSE
2	7073	NA	FALSE
3	6409	NA	FALSE
4	5903	NA	FALSE
5	5412	NA	FALSE
6	5385	NA	FALSE
7	5272	NA	FALSE
8	4921	NA	FALSE
9	4859	NA	FALSE
10	4650	NA	FALSE
11	4568	NA	FALSE
12	4492	NA	FALSE
13	4470	NA	FALSE
14	3868	NA	FALSE
15	3858	NA	FALSE
16	3853	NA	FALSE
17	3813	NA	FALSE
18	3794	NA	FALSE
19	3788	NA	FALSE
20	3763	NA	FALSE
21	3692	NA	FALSE
22	3627	NA	FALSE
23	3595	NA	FALSE
24	3579	NA	FALSE
25	3570	NA	FALSE
26	3568	NA	FALSE
27	3549	NA	FALSE
28	3427	NA	FALSE
29	3415	NA	FALSE
30	3315	NA	FALSE
31	3257	NA	FALSE
32	3199	NA	FALSE
33	3170	NA	FALSE
34	3164	NA	FALSE
35	3119	NA	FALSE
36	3109	NA	FALSE
37	3099	NA	FALSE
38	3086	NA	FALSE
39	3037	NA	FALSE
40	3033	NA	FALSE
41	3027	NA	FALSE
42	3021	NA	FALSE
43	3012	NA	FALSE
44	2988	NA	FALSE
45	2978	NA	FALSE
46	2958	NA	FALSE
47	2947	NA	FALSE
48	2915	NA	FALSE
49	2908	NA	FALSE
50	2898	NA	FALSE
51	2897	NA	FALSE
52	2843	NA	FALSE
53	2828	NA	FALSE
54	2803	2811.93736547549	FALSE
55	2802	2803.41314934802	FALSE
56	2796	2793.99428136727	FALSE
57	2789	2782.60326688434	FALSE
58	2782	2768.51332530481	FALSE
59	2746	2752.05499714936	FALSE
60	2744	2733.90124983939	FALSE
61	2698	2715.17747684822	FALSE
62	2692	2696.77330428822	FALSE
63	2686	2678.5739500441	FALSE
64	2666	2660.3495503098	FALSE
65	2627	2642.24580286188	FALSE
66	2626	2624.35084764189	FALSE
67	2623	2606.25504407746	FALSE
68	2593	2587.69114167012	FALSE
69	2560	2569.25431075179	FALSE
70	2549	2551.61186899656	FALSE
71	2546	2535.10763827717	FALSE
72	2509	2520.01499377123	FALSE
73	2504	2506.68968449496	FALSE
74	2487	2495.35824640219	FALSE
75	2482	2485.75795705608	FALSE
76	2479	2477.49236995564	FALSE
77.5	2459	2466.43201124554	FALSE
77.5	2459	2466.43201124554	FALSE
79	2451	2455.25381174552	FALSE
80	2449	2446.53582450896	FALSE
81	2437	2435.98289486727	FALSE
82	2433	2422.94832027222	FALSE
83	2420	2406.93111646545	FALSE
84	2419	2387.80411828848	FALSE
85	2409	2365.9094485603	FALSE
86	2307	2342.97723333594	FALSE
87	2300	2320.79350123238	FALSE
88	2282	2300.5136084943	FALSE
89	2268	2282.84977132346	FALSE
90	2267	2267.59841132793	FALSE
91	2257	2254.35144387678	FALSE
