"total_features"	"total_counts"	"pc_mito"
1153	2196	0
1219	2560	0
981	1784	0
1159	2159	0
1111	1841	0
766	1236	0
899	1490	0
919	1907	0
2107	5903	0
1129	2020	0
1622	3794	0
1513	3033	0
1103	1861	0
1479	2958	0
907	1589	0
1237	2627	0
1295	2504	0
880	1437	0
2162	7174	0
1499	3164	0
1390	2698	0
1616	3868	0
1044	2055	0
1049	1730	0
808	1358	0
1219	2437	0
935	1595	0
1020	1883	0
688	1402	0
768	1194	0
1076	2145	0
1273	2479	0
1274	2459	0
920	1393	0
720	1068	0
1381	2802	0
1302	2803	0
1264	2692	0
605	800	0
671	1035	0
588	876	0
1470	3257	0
740	1410	0
1464	3170	0
633	986	0
1272	2409	0
1534	3568	0
1034	2085	0
695	963	0
763	1366	0
624	1034	0
1240	2419	0
1216	2227	0
1528	3415	0
987	1687	0
637	921	0
1339	2623	0
1579	3579	0
1329	2307	0
1496	3570	0
803	1873	0
1470	2947	0
1370	2843	0
791	1269	0
1035	2005	0
1204	2257	0
1172	2051	0
1802	5412	0
1423	3109	0
1204	2245	0
1329	2449	0
1370	2686	0
702	1070	0
1253	2509	0
1242	2230	0
262	309	0
1730	4492	0
1726	4921	0
1487	3119	0
1721	3858	0
1086	2132	0
1067	2122	0
1435	3099	0
951	1633	0
1824	4650	0
1187	2420	0
991	1709	0
1190	2268	0
700	983	0
2012	6409	0
1299	2789	0
1896	4568	0
629	913	0
1361	2546	0
875	1456	0
877	1531	0
1273	2487	0
245	275	0
1608	3595	0
1493	3021	0
1003	1796	0
1220	2433	0
1168	2200	0
1442	2593	0
1334	2666	0
997	1783	0
299	406	0
559	953	0
961	1547	0
1415	2978	0
1830	4470	0
1111	2175	0
629	846	0
970	1585	0
1536	3692	0
1419	3086	0
1245	2482	0
1574	3813	0
1080	1879	0
497	736	0
458	596	0
591	801	0
1133	2267	0
1188	2211	0
1536	3315	0
945	1657	0
2052	7073	0
999	1902	0
966	1796	0
706	1136	0
1014	1906	0
1008	1921	0
807	1317	0
984	1598	0
872	1422	0
932	1551	0
270	322	0
1060	1893	0
1471	3427	0
1414	2828	0
1529	3199	0
1376	2988	0
1750	5272	0
1282	2451	0
1272	2744	0
974	1767	0
977	1617	0
1390	2915	0
1898	5385	0
1196	2282	0
1123	2203	0
1420	3027	0
702	1094	0
1296	2898	0
945	1595	0
948	1467	0
487	620	0
837	1288	0
1788	4859	0
1613	3037	0
1056	2132	0
997	1621	0
1301	2300	0
862	1414	0
662	915	0
682	1100	0
1349	2549	0
1468	2908	0
1581	3853	0
1328	2746	0
901	1408	0
1211	2459	0
960	2070	0
968	2062	0
1040	1721	0
1422	2782	0
534	768	0
895	1456	0
363	682	0
334	769	0
374	743	0
341	652	0
342	610	0
378	974	0
129	292	0
318	782	0
389	1022	0
424	1018	0
353	772	0
386	888	0
512	1133	0
308	543	0
130	274	0
410	1052	0
216	566	0
411	1134	0
338	744	0
685	1489	0
1169	3549	0
986	2626	0
1154	3763	0
1157	3788	0
774	1801	0
661	1571	0
1048	3627	0
796	1983	0
642	1488	0
822	2178	0
779	2082	0
741	1860	0
861	2118	0
735	1869	0
704	1831	0
709	1644	0
690	1581	0
830	2097	0
644	1674	0
984	2897	0
978	2796	0
646	1278	0
670	1482	0
713	1778	0
671	1746	0
757	1794	0
1009	3012	0
772	1877	0
