"total_features"	"total_counts"	"pc_mito"
552	786	0
1194	2445	0
1517	3462	0
887	1419	0
1118	2236	0
286	358	0
1107	1850	0
845	1461	0
1052	1932	0
1080	2033	0
1416	3081	0
1433	2788	0
1609	3639	0
681	991	0
729	1182	0
746	1141	0
973	1963	0
1326	2821	0
1203	2167	0
1184	2277	0
1052	1783	0
1259	2482	0
1107	2011	0
836	1394	0
1538	3356	0
1099	2018	0
1499	3586	0
698	1033	0
895	1599	0
1569	3500	0
372	463	0
1047	1704	0
1525	3481	0
1307	2354	0
909	1564	0
542	1000	0
1159	2030	0
1687	4302	0
1320	2806	0
1216	2421	0
1135	2122	0
1089	2024	0
452	615	0
1706	3998	0
1448	3352	0
905	1508	0
1498	3048	0
1387	3208	0
649	959	0
941	1616	0
1300	2723	0
1435	3175	0
1168	2156	0
570	806	0
1493	3133	0
802	1210	0
1170	2276	0
844	1404	0
1527	3068	0
890	1535	0
1477	3226	0
566	903	0
1249	2274	0
559	861	0
1357	2898	0
1204	2347	0
1978	6846	0
1177	2396	0
1265	2492	0
1412	3394	0
1224	2259	0
207	234	0
555	901	0
1313	2709	0
1472	3280	0
471	615	0
1620	3433	0
1267	2759	0
1200	2377	0
1005	1692	0
1555	3661	0
1502	3921	0
603	831	0
1816	4628	0
933	1536	0
1042	2039	0
1272	2374	0
1151	2001	0
1236	2481	0
1555	3781	0
917	1566	0
1383	2741	0
1346	2660	0
1347	2735	0
1155	2050	0
1666	4159	0
1351	2983	0
1009	1779	0
1046	1933	0
310	445	0
963	1598	0
1935	5125	0
1429	2747	0
1685	4908	0
1088	1964	0
1767	4716	0
1402	2922	0
934	1602	0
1215	2338	0
465	648	0
1076	1920	0
1178	2305	0
663	1119	0
792	1568	0
2312	9817	0
1028	1712	0
1399	2738	0
1085	2086	0
1193	2211	0
1381	3016	0
1542	3671	0
1208	2549	0
1156	2203	0
846	1531	0
1019	1858	0
953	1552	0
1058	1948	0
1684	4338	0
1061	1888	0
1393	2890	0
1774	5059	0
1431	3125	0
834	1454	0
961	2044	0
1228	2360	0
1367	2774	0
1302	2876	0
1388	2942	0
411	575	0
1488	3077	0
1055	1779	0
547	926	0
1337	3067	0
1006	1791	0
1084	1870	0
906	1423	0
1055	1966	0
1099	1922	0
1214	2291	0
693	1158	0
1203	2278	0
1041	2197	0
1731	3943	0
692	1005	0
1251	2473	0
782	1252	0
1552	3601	0
909	1566	0
1454	3194	0
1498	3275	0
1568	3368	0
1093	2094	0
1293	2803	0
1004	1823	0
927	1762	0
923	1536	0
1791	5076	0
1392	3029	0
600	834	0
1021	1928	0
1639	3719	0
1357	2762	0
840	1428	0
660	870	0
1335	2774	0
883	1326	0
1058	1720	0
1572	3425	0
314	738	0
362	810	0
368	851	0
405	952	0
342	760	0
341	697	0
432	1046	0
446	1087	0
283	608	0
476	1237	0
789	2116	0
480	1214	0
460	1129	0
388	783	0
370	710	0
309	689	0
343	760	0
392	1067	0
278	564	0
977	2832	0
714	1679	0
1194	4098	0
761	2102	0
639	1381	0
691	1748	0
719	1897	0
916	2530	0
1112	3672	0
808	2055	0
644	1290	0
760	1929	0
680	1505	0
702	1720	0
797	2038	0
866	2446	0
641	1331	0
735	1999	0
787	1894	0
827	2137	0
1085	3223	0
913	2427	0
605	1375	0
888	2116	0
827	2131	0
1056	3138	0
1108	3281	0
1046	3349	0
731	1763	0
