"barcode_rank"	"total_counts"	"fitted"	"is_empty"
1	7831	NA	FALSE
2	7407	NA	FALSE
3	5748	NA	FALSE
4	5555	NA	FALSE
5	5137	NA	FALSE
6	5115	NA	FALSE
7	5107	NA	FALSE
8	4868	NA	FALSE
9	4817	NA	FALSE
10	4801	NA	FALSE
11	4731	NA	FALSE
12	4707	NA	FALSE
13	4661	NA	FALSE
14	4639	NA	FALSE
15	4457	NA	FALSE
16	4371	NA	FALSE
17	4212	NA	FALSE
18	4187	NA	FALSE
19	3932	NA	FALSE
20	3912	NA	FALSE
21	3910	NA	FALSE
22	3838	NA	FALSE
23	3754	NA	FALSE
24	3748	NA	FALSE
25	3588	NA	FALSE
26	3558	NA	FALSE
27	3543	NA	FALSE
28	3511	NA	FALSE
29	3437	NA	FALSE
30	3436	NA	FALSE
31	3423	NA	FALSE
32	3379	NA	FALSE
33	3298	NA	FALSE
34	3286	NA	FALSE
35	3245	NA	FALSE
36	3233	NA	FALSE
37	3226	NA	FALSE
38	3219	NA	FALSE
39	3154	NA	FALSE
40	3135	NA	FALSE
41	3075	NA	FALSE
42	3061	NA	FALSE
43	3033	NA	FALSE
44	3029	NA	FALSE
45	2968	NA	FALSE
46	2953	NA	FALSE
47	2950	NA	FALSE
48	2939	NA	FALSE
49	2891	NA	FALSE
50	2874	NA	FALSE
51	2871	NA	FALSE
52	2861	NA	FALSE
53	2848	NA	FALSE
54.5	2808	NA	FALSE
54.5	2808	NA	FALSE
56	2788	NA	FALSE
57	2786	NA	FALSE
58	2760	NA	FALSE
59	2754	NA	FALSE
60	2723	NA	FALSE
61	2706	NA	FALSE
62	2701	NA	FALSE
63	2689	NA	FALSE
64	2687	NA	FALSE
65	2685	NA	FALSE
66	2665	NA	FALSE
67	2618	NA	FALSE
68	2614	NA	FALSE
69.5	2609	NA	FALSE
69.5	2609	NA	FALSE
71	2603	NA	FALSE
72	2594	NA	FALSE
73	2584	NA	FALSE
74	2579	NA	FALSE
75	2568	NA	FALSE
76	2565	NA	FALSE
77	2541	NA	FALSE
78	2535	NA	FALSE
79	2528	NA	FALSE
80	2525	NA	FALSE
81	2518	2519.61487440551	FALSE
82	2517	2517.00749278839	FALSE
83	2514	2514.26243490476	FALSE
84	2509	2511.20442059118	FALSE
85	2508	2507.63028191303	FALSE
86	2502	2503.20795569947	FALSE
87	2500	2497.59240373256	FALSE
88	2493	2490.45192400488	FALSE
89	2488	2481.58958636846	FALSE
90	2464	2471.25461212536	FALSE
91	2459	2459.74552462797	FALSE
92	2454	2447.18407411423	FALSE
93	2423	2433.64601866373	FALSE
94	2422	2419.19931478127	FALSE
95	2402	2403.82127898212	FALSE
96	2396	2387.23957648968	FALSE
97	2390	2369.45902609064	FALSE
98	2347	2350.83936990091	FALSE
99	2311	2332.76414656397	FALSE
100	2304	2316.40061355673	FALSE
101.5	2293	2294.28873003214	FALSE
101.5	2293	2294.28873003214	FALSE
103	2281	2273.14105492254	FALSE
104	2265	2258.32895208062	FALSE
105	2259	2242.32406928285	FALSE
106	2219	2225.53272909096	FALSE
107	2191	2208.47756867673	FALSE
108	2186	2191.39526325709	FALSE
109	2175	2174.25974092461	FALSE
110	2163	2156.42452423226	FALSE
111	2143	2137.50092307868	FALSE
112	2116	2117.26609862232	FALSE
113	2115	2095.66340466776	FALSE
114	2094	2072.88878515757	FALSE
115	2047	2049.93088687697	FALSE
116	2024	2027.94652307553	FALSE
117	1981	2008.22543985853	FALSE
118	1980	1991.75379178599	FALSE
119.5	1968	1972.92053373293	FALSE
119.5	1968	1972.92053373293	FALSE
121	1955	1960.06359924124	FALSE
122	1954	1953.87431516113	FALSE
123	1953	1948.88631890828	FALSE
124	1947	1944.48840267827	FALSE
125	1944	1940.22162439586	FALSE
126	1938	1935.72197586108	FALSE
127	1935	1930.78590806322	FALSE
128	1919	1925.2676397869	FALSE
129	1917	1919.07503380162	FALSE
130	1915	1912.09774210651	FALSE
131.5	1914	1899.62286555967	FALSE
131.5	1914	1899.62286555967	FALSE
133	1913	1884.45034478746	FALSE
134	1860	1873.55483590372	FALSE
135	1839	1862.63605506477	FALSE
136.5	1835	1846.87788122133	FALSE
136.5	1835	1846.87788122133	FALSE
138	1826	1832.21495333556	FALSE
139	1824	1822.52520646918	FALSE
140	1814	1812.41957120852	FALSE
141	1809	1801.52652867506	FALSE
142	1796	1789.58010745425	FALSE
143	1783	1776.40500134743	FALSE
144	1778	1762.0375266481	FALSE
145	1751	1746.63018108588	FALSE
146	1728	1730.58792076915	FALSE
147	1720	1714.36849021992	FALSE
148	1698	1698.46238367229	FALSE
149	1662	1683.30963309285	FALSE
150	1654	1669.20093996441	FALSE
151	1652	1656.28618209332	FALSE
152	1644	1644.34681235043	FALSE
