"total_features"	"total_counts"	"pc_mito"
1502	3437	0
1956	5748	0
1315	2848	0
800	1539	0
1845	4801	0
789	1358	0
737	1095	0
942	1488	0
1380	3033	0
1025	1935	0
1317	2502	0
1179	2281	0
788	1379	0
1122	2163	0
684	943	0
1087	1947	0
629	979	0
1323	2459	0
1151	2024	0
1493	3298	0
923	1462	0
614	934	0
1215	2396	0
1506	3286	0
1035	1720	0
1274	2565	0
1262	2701	0
2341	7831	0
691	987	0
1102	1778	0
1800	4817	0
1433	2861	0
1127	2464	0
821	1420	0
1494	3154	0
1054	1913	0
1204	2347	0
1211	2423	0
745	1484	0
1287	2584	0
1091	2116	0
965	1619	0
921	1632	0
1376	2968	0
568	898	0
1388	2685	0
1881	5555	0
1542	3075	0
1096	1824	0
1064	1953	0
636	966	0
1597	3219	0
599	792	0
1250	2508	0
1745	4457	0
1719	5107	0
1959	5115	0
1287	2265	0
817	1654	0
1555	3436	0
1401	3061	0
1026	1814	0
1212	2609	0
1434	2950	0
1325	2579	0
669	1062	0
867	1208	0
1505	3748	0
463	609	0
839	1399	0
1213	2186	0
1120	2047	0
1346	2500	0
402	565	0
775	1221	0
1182	2514	0
1756	4868	0
1202	2454	0
1137	1968	0
1314	2808	0
1028	1652	0
1091	1860	0
988	1796	0
1428	3233	0
1392	2687	0
1210	2517	0
1368	2891	0
1137	1944	0
1226	2493	0
1557	3588	0
1220	2541	0
1855	4707	0
1147	2175	0
668	930	0
1216	2402	0
1481	2874	0
1397	3754	0
1328	2568	0
766	1165	0
1080	1955	0
1656	3910	0
998	1783	0
861	1475	0
276	369	0
1089	2094	0
1298	2808	0
883	1468	0
1871	5137	0
871	1330	0
652	999	0
1163	2259	0
1299	2488	0
1529	3543	0
1039	1938	0
612	940	0
1022	1917	0
723	1141	0
1303	2594	0
714	1141	0
1086	1980	0
1430	2723	0
1470	2871	0
815	1430	0
1178	2509	0
1176	2311	0
728	1096	0
1012	1751	0
713	1071	0
1284	2609	0
789	1225	0
1402	3558	0
1190	2525	0
882	1826	0
1542	3912	0
926	1515	0
1491	3379	0
904	1587	0
507	810	0
1639	4212	0
911	1455	0
1690	3932	0
1370	2788	0
1230	2191	0
1239	2535	0
2052	7407	0
1316	2760	0
1573	3511	0
1556	3226	0
1854	4639	0
958	1553	0
1611	3838	0
1164	2293	0
1380	2614	0
898	1981	0
1583	3423	0
971	1605	0
585	826	0
1439	2939	0
878	1474	0
1337	2754	0
1181	2219	0
1355	3029	0
953	1644	0
1283	2422	0
556	767	0
1177	2115	0
1235	2528	0
1264	2689	0
1490	3245	0
1717	4371	0
1212	2518	0
1114	2293	0
1712	4661	0
1097	1919	0
129	144	0
871	1447	0
1400	3135	0
405	521	0
463	986	0
352	842	0
438	914	0
391	984	0
394	894	0
410	998	0
319	714	0
397	901	0
335	952	0
322	720	0
412	765	0
355	803	0
987	2390	0
459	1086	0
462	1096	0
503	1084	0
372	826	0
359	704	0
312	577	0
832	1968	0
729	1728	0
1030	2953	0
693	1527	0
1298	4731	0
641	1423	0
923	2603	0
960	2665	0
900	2618	0
693	1589	0
680	1592	0
746	1662	0
832	1954	0
958	4187	0
853	2304	0
752	1915	0
711	1835	0
991	2706	0
796	1809	0
797	1914	0
685	1427	0
682	1619	0
755	1914	0
645	1320	0
741	1698	0
721	1839	0
761	2143	0
993	2786	0
752	1835	0
