"barcode_rank"	"total_counts"	"fitted"	"is_empty"
1	12653	NA	FALSE
2	11244	NA	FALSE
3	9940	NA	FALSE
4	9310	NA	FALSE
5	9161	NA	FALSE
6	8807	NA	FALSE
7	8249	NA	FALSE
8	7948	NA	FALSE
9	7839	NA	FALSE
10	7555	NA	FALSE
11	7344	NA	FALSE
12	7266	NA	FALSE
13	7223	NA	FALSE
14	7186	NA	FALSE
15	7156	NA	FALSE
16	7102	NA	FALSE
17	6882	NA	FALSE
18	6872	NA	FALSE
19	6827	NA	FALSE
20	6812	NA	FALSE
21	6665	NA	FALSE
22	6426	NA	FALSE
23	6412	NA	FALSE
24	6401	NA	FALSE
25	6388	NA	FALSE
26	6370	NA	FALSE
27	6331	NA	FALSE
28	6316	NA	FALSE
29	6302	NA	FALSE
30	6285	NA	FALSE
31	6253	NA	FALSE
32	6117	NA	FALSE
33	6055	NA	FALSE
34	6043	NA	FALSE
35	5905	NA	FALSE
36	5897	NA	FALSE
37	5883	NA	FALSE
38	5880	NA	FALSE
39	5820	NA	FALSE
40	5744	NA	FALSE
41	5590	NA	FALSE
42	5563	NA	FALSE
43	5492	NA	FALSE
44	5472	NA	FALSE
45	5467	NA	FALSE
46	5408	NA	FALSE
47	5400	NA	FALSE
48	5381	NA	FALSE
49	5339	NA	FALSE
50	5313	NA	FALSE
51	5299	NA	FALSE
52	5294	NA	FALSE
53	5266	NA	FALSE
54	5257	NA	FALSE
55	5208	NA	FALSE
56	5199	NA	FALSE
57	5164	NA	FALSE
58	5093	NA	FALSE
59	5082	NA	FALSE
60	4990	NA	FALSE
61	4951	NA	FALSE
62	4868	NA	FALSE
63	4832	NA	FALSE
64.5	4828	NA	FALSE
64.5	4828	NA	FALSE
66	4763	NA	FALSE
67	4709	NA	FALSE
68	4705	NA	FALSE
69	4665	NA	FALSE
70	4652	NA	FALSE
71	4649	NA	FALSE
72	4594	NA	FALSE
73	4552	NA	FALSE
74	4471	NA	FALSE
75	4443	4460.31301525323	FALSE
76	4442	4440.83646899379	FALSE
77	4438	4419.8007383112	FALSE
78	4406	4396.07543987379	FALSE
79	4396	4369.46866616076	FALSE
80	4325	4342.34639098678	FALSE
81	4291	4317.16979068821	FALSE
82	4286	4295.00211582205	FALSE
83	4277	4276.15626440836	FALSE
84	4256	4259.47991600125	FALSE
85	4245	4243.51764059634	FALSE
86	4236	4226.74444689419	FALSE
87.5	4222	4198.04483423063	FALSE
87.5	4222	4198.04483423063	FALSE
89	4181	4166.29397219015	FALSE
90	4116	4144.52035903892	FALSE
91	4106	4123.71730670782	FALSE
92	4105	4104.84928454165	FALSE
93	4084	4087.13869919673	FALSE
94	4078	4069.44122048676	FALSE
95	4076	4050.85452699327	FALSE
96	4031	4031.44022655602	FALSE
97	4006	4011.59549171151	FALSE
98	3981	3992.13902996963	FALSE
99	3956	3973.70035564318	FALSE
100	3948	3955.9355904784	FALSE
101	3947	3938.1788551012	FALSE
102	3930	3919.34041834494	FALSE
103	3925	3898.5551260194	FALSE
104	3849	3876.03295109904	FALSE
105	3848	3852.09592084512	FALSE
106	3845	3826.56317624866	FALSE
107	3817	3799.31447031473	FALSE
108	3759	3770.86679346421	FALSE
109	3739	3741.83257775206	FALSE
110	3726	3712.70319610696	FALSE
111	3697	3684.00483887552	FALSE
112	3634	3656.5822109941	FALSE
113	3610	3631.25348564211	FALSE
114	3595	3608.40799653343	FALSE
115	3586	3587.63696815224	FALSE
116	3560	3568.30836127013	FALSE
117	3550	3549.53852629645	FALSE
118	3537	3530.43801256727	FALSE
119	3532	3510.20039999598	FALSE
120	3489	3488.20358486829	FALSE
121	3464	3464.34420242429	FALSE
122	3442	3438.66477303663	FALSE
123	3405	3411.27759189512	FALSE
124	3367	3382.24063301023	FALSE
125	3355	3351.34581044904	FALSE
126	3346	3318.38014602311	FALSE
127	3345	3283.29810781151	FALSE
128	3259	3246.43308446792	FALSE
129	3178	3209.38814622636	FALSE
130	3123	3173.85736918553	FALSE
131	3121	3140.82271449959	FALSE
132	3082	3110.1983057924	FALSE
133	3074	3081.52090528778	FALSE
134	3059	3053.72570609037	FALSE
135	3057	3025.7437505301	FALSE
136	3034	2996.86184533609	FALSE
137	2973	2966.67384476865	FALSE
138	2926	2935.51977211914	FALSE
139	2912	2903.87934828336	FALSE
140	2845	2872.15573862757	FALSE
141	2835	2840.62840074477	FALSE
142	2815	2809.23444579409	FALSE
143	2801	2777.88189451986	FALSE
144	2780	2746.6571278156	FALSE
145	2702	2715.79365820958	FALSE
146	2664	2685.94531699331	FALSE
147	2629	2657.69417393841	FALSE
148	2617	2631.08647258943	FALSE
149	2599	2605.95614905759	FALSE
150	2598	2581.82744561436	FALSE
151	2550	2558.26931925822	FALSE
152	2545	2534.91834197055	FALSE
153	2526	2511.48902569466	FALSE
154	2490	2487.77521284849	FALSE
155	2466	2463.76448879879	FALSE
156	2432	2439.4892262296	FALSE
157	2405	2414.97732431458	FALSE
