ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000000419	protein_coding	DPM1	39.85	246	210
ENSG00000001461	protein_coding	NIPAL3	44.99	322	228
ENSG00000001629	protein_coding	ANKIB1	36.83	99	84
ENSG00000001630	protein_coding	CYP51A1	38.25	171	125
ENSG00000001631	protein_coding	KRIT1	36.48	613	407
ENSG00000002330	protein_coding	BAD	53.92	432	307
ENSG00000002587	protein_coding	HS3ST1	43.92	121	87
ENSG00000003056	protein_coding	M6PR	42.37	247	214
ENSG00000003756	protein_coding	RBM5	44.45	315	238
ENSG00000004059	protein_coding	ARF5	56.14	1349	627
ENSG00000004142	protein_coding	POLDIP2	49.87	415	308
ENSG00000004455	protein_coding	AK2	46.32	163	137
ENSG00000004478	protein_coding	FKBP4	51.53	483	324
ENSG00000004848	protein_coding	ARX	54.62	351	243
ENSG00000005022	protein_coding	SLC25A5	52.54	1048	518
ENSG00000005075	protein_coding	POLR2J	55.04	505	341
ENSG00000005194	protein_coding	CIAPIN1	44.27	196	167
ENSG00000005339	protein_coding	CREBBP	45.01	238	171
ENSG00000005483	protein_coding	KMT2E	37.41	587	403
ENSG00000005486	protein_coding	RHBDD2	47.79	213	175
ENSG00000005810	protein_coding	MYCBP2	35.73	697	401
ENSG00000006007	protein_coding	GDE1	40.14	1534	648
ENSG00000006116	protein_coding	CACNG3	44.54	98	65
ENSG00000006118	protein_coding	TMEM132A	58.71	216	164
ENSG00000006128	protein_coding	TAC1	39.5	13	6
ENSG00000006210	protein_coding	CX3CL1	53.75	785	423
ENSG00000006451	protein_coding	RALA	39.66	421	283
ENSG00000006468	protein_coding	ETV1	36.3	181	85
ENSG00000006715	protein_coding	VPS41	38.35	313	237
ENSG00000006740	protein_coding	ARHGAP44	42.69	99	85
ENSG00000007047	protein_coding	MARK4	53.57	217	167
ENSG00000007080	protein_coding	CCDC124	55.84	787	424
ENSG00000007168	protein_coding	PAFAH1B1	42.4	1508	592
ENSG00000007202	protein_coding	KIAA0100	46.75	361	267
ENSG00000007264	protein_coding	MATK	54.4	475	325
ENSG00000007376	protein_coding	RPUSD1	67.17	260	208
ENSG00000007392	protein_coding	LUC7L	47.33	207	170
ENSG00000007402	protein_coding	CACNA2D2	56.52	188	102
ENSG00000007520	protein_coding	TSR3	62.41	241	205
ENSG00000007541	protein_coding	PIGQ	64.36	164	133
ENSG00000007923	protein_coding	DNAJC11	46.6	181	150
ENSG00000008018	protein_coding	PSMB1	39.78	1393	601
ENSG00000008056	protein_coding	SYN1	47.76	702	385
ENSG00000008086	protein_coding	CDKL5	40.21	381	268
ENSG00000008130	protein_coding	NADK	53.7	139	113
ENSG00000008256	protein_coding	CYTH3	44.78	172	142
ENSG00000008277	protein_coding	ADAM22	37.29	391	277
ENSG00000008282	protein_coding	SYPL1	38.18	189	118
ENSG00000008283	protein_coding	CYB561	57.39	336	257
ENSG00000008294	protein_coding	SPAG9	40	393	300
ENSG00000008382	protein_coding	MPND	55.95	236	192
ENSG00000008441	protein_coding	NFIX	55.28	1011	448
ENSG00000008735	protein_coding	MAPK8IP2	62.89	386	277
ENSG00000008952	protein_coding	SEC62	36.6	2677	731
ENSG00000008988	protein_coding	RPS20	41.97	1711	607
ENSG00000009307	protein_coding	CSDE1	38.28	520	346
ENSG00000009954	protein_coding	BAZ1B	43.19	177	152
ENSG00000010244	protein_coding	ZNF207	38.47	142	87
ENSG00000010256	protein_coding	UQCRC1	53.04	759	430
ENSG00000010270	protein_coding	STARD3NL	38.4	390	274
ENSG00000010278	protein_coding	CD9	51.04	448	138
ENSG00000010404	protein_coding	IDS	45.34	292	221
ENSG00000010803	protein_coding	SCMH1	39.5	241	192
ENSG00000010810	protein_coding	FYN	42.42	217	182
ENSG00000010818	protein_coding	HIVEP2	38.72	282	214
ENSG00000011021	protein_coding	CLCN6	48.13	228	182
ENSG00000011083	protein_coding	SLC6A7	54.63	95	77
ENSG00000011243	protein_coding	AKAP8L	48.86	276	229
ENSG00000011258	protein_coding	MBTD1	39.5	64	56
ENSG00000011295	protein_coding	TTC19	40.8	359	247
ENSG00000011347	protein_coding	SYT7	57.15	428	279
ENSG00000011485	protein_coding	PPP5C	50.7	298	207
ENSG00000011600	protein_coding	TYROBP	51.45	342	75
ENSG00000011677	protein_coding	GABRA3	37.36	145	101
ENSG00000012232	protein_coding	EXTL3	44.36	208	169
ENSG00000013016	protein_coding	EHD3	50.24	175	132
ENSG00000013275	protein_coding	PSMC4	49.94	444	312
ENSG00000013293	protein_coding	SLC7A14	42.15	202	149
ENSG00000013297	protein_coding	CLDN11	43.14	2862	132
ENSG00000013374	protein_coding	NUB1	44.96	183	150
